location,population,date,human_development_index,total_cases,total_deaths,infected_death_percentage
Austria,9006400,"2021-01-19 00:00:00",0.922,8936,179,2.003
Austria,9006400,"2021-01-20 00:00:00",0.922,8918,123,1.379
Austria,9006400,"2021-01-21 00:00:00",0.922,8776,129,1.470
Austria,9006400,"2021-01-22 00:00:00",0.922,8175,97,1.187
Austria,9006400,"2021-01-23 00:00:00",0.922,9097,157,1.726
Austria,9006400,"2021-01-24 00:00:00",0.922,8627,110,1.275
Austria,9006400,"2021-01-25 00:00:00",0.922,8549,100,1.170
Austria,9006400,"2021-01-26 00:00:00",0.922,8971,119,1.326
Austria,9006400,"2021-01-27 00:00:00",0.922,9221,131,1.421
Austria,9006400,"2021-01-28 00:00:00",0.922,8591,117,1.362
Austria,9006400,"2021-01-29 00:00:00",0.922,6805,97,1.425
Austria,9006400,"2021-01-30 00:00:00",0.922,6610,104,1.573
Austria,9006400,"2021-01-31 00:00:00",0.922,4877,49,1.005
Azerbaijan,10139175,"2020-01-01 00:00:00",0.756,6973,74,1.061
Azerbaijan,10139175,"2020-01-02 00:00:00",0.756,6048,72,1.190
Azerbaijan,10139175,"2020-01-03 00:00:00",0.756,6936,77,1.110
Azerbaijan,10139175,"2020-01-04 00:00:00",0.756,6908,70,1.013
Azerbaijan,10139175,"2020-01-05 00:00:00",0.756,7141,78,1.092
Azerbaijan,10139175,"2020-01-06 00:00:00",0.756,7261,76,1.047
Azerbaijan,10139175,"2020-01-07 00:00:00",0.756,5903,77,1.304
Azerbaijan,10139175,"2020-01-08 00:00:00",0.756,7530,75,0.996
Azerbaijan,10139175,"2020-01-09 00:00:00",0.756,6625,80,1.208
Azerbaijan,10139175,"2020-01-10 00:00:00",0.756,7048,73,1.036
Azerbaijan,10139175,"2020-01-11 00:00:00",0.756,7080,83,1.172
Azerbaijan,10139175,"2020-01-12 00:00:00",0.756,7240,81,1.119
Azerbaijan,10139175,"2020-01-13 00:00:00",0.756,7338,83,1.131
Azerbaijan,10139175,"2020-01-14 00:00:00",0.756,6609,84,1.271
Azerbaijan,10139175,"2020-01-15 00:00:00",0.756,8356,80,0.957
